MATCH_ID,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR
"3rd Match (N), Eden Gardens, March 23",Shreyas Iyer (c),out,0,2,1,0,0,0.00
"3rd Match (N), Eden Gardens, March 23",Nitish Rana,out,9,11,18,1,0,81.81
"3rd Match (N), Eden Gardens, March 23",Ramandeep Singh,out,35,17,20,1,4,205.88
"3rd Match (N), Eden Gardens, March 23",Rinku Singh,out,23,15,35,3,0,153.33
"3rd Match (N), Eden Gardens, March 23",Andre Russell,not out,64,25,32,3,7,256.00
"3rd Match (N), Eden Gardens, March 23",Mitchell Starc,not out,6,3,3,1,0,200.00
"3rd Match (N), Eden Gardens, March 23",Mayank Agarwal,out,32,21,27,4,1,152.38
"3rd Match (N), Eden Gardens, March 23",Abhishek Sharma,out,32,19,36,4,2,168.42
"3rd Match (N), Eden Gardens, March 23",Rahul Tripathi,out,20,20,33,0,1,100.00
"3rd Match (N), Eden Gardens, March 23",Aiden Markram,out,18,13,20,2,0,138.46
"3rd Match (N), Eden Gardens, March 23",Heinrich Klaasen †,out,63,29,45,0,8,217.24
"3rd Match (N), Eden Gardens, March 23",Abdul Samad,out,15,11,20,1,1,136.36
"3rd Match (N), Eden Gardens, March 23",Shahbaz Ahmed,out,16,5,15,1,2,320.00
"3rd Match (N), Eden Gardens, March 23",Marco Jansen,not out,1,1,3,0,0,100.00
"3rd Match (N), Eden Gardens, March 23",Pat Cummins (c),not out,0,1,1,0,0,0.00
"4th Match (D/N), Jaipur, March 24",Yashasvi Jaiswal,out,24,12,34,3,1,200.00
"4th Match (D/N), Jaipur, March 24",Jos Buttler,out,11,9,15,2,0,122.22
"4th Match (D/N), Jaipur, March 24",Sanju Samson (c)†,not out,82,52,89,3,6,157.69
"4th Match (D/N), Jaipur, March 24",Riyan Parag,out,43,29,42,1,3,148.27
"4th Match (D/N), Jaipur, March 24",Shimron Hetmyer,out,5,7,7,0,0,71.42
"4th Match (D/N), Jaipur, March 24",Dhruv Jurel,not out,20,12,20,1,1,166.66
"4th Match (D/N), Jaipur, March 24",Quinton de Kock,out,4,5,3,1,0,80.00
"4th Match (D/N), Jaipur, March 24",KL Rahul (c)†,out,58,44,81,4,2,131.81
"4th Match (D/N), Jaipur, March 24",Devdutt Padikkal,out,0,3,9,0,0,0.00
"4th Match (D/N), Jaipur, March 24",Ayush Badoni,out,1,5,4,0,0,20.00
"4th Match (D/N), Jaipur, March 24",Deepak Hooda,out,26,13,19,2,2,200.00
"4th Match (D/N), Jaipur, March 24",Nicholas Pooran,not out,64,41,60,4,4,156.09
"4th Match (D/N), Jaipur, March 24",Marcus Stoinis,out,3,4,6,0,0,75.00
"4th Match (D/N), Jaipur, March 24",Krunal Pandya,not out,3,5,12,0,0,60.00
"5th Match (N), Ahmedabad, March 24",Wriddhiman Saha †,out,19,15,18,4,0,126.66
"5th Match (N), Ahmedabad, March 24",Shubman Gill (c),out,31,22,35,3,1,140.90
"5th Match (N), Ahmedabad, March 24",Sai Sudharsan,out,45,39,58,3,1,115.38
"5th Match (N), Ahmedabad, March 24",Azmatullah Omarzai,out,17,11,17,1,1,154.54
"5th Match (N), Ahmedabad, March 24",David Miller,out,12,11,21,1,0,109.09
"5th Match (N), Ahmedabad, March 24",Vijay Shankar,not out,6,5,23,0,0,120.00
"5th Match (N), Ahmedabad, March 24",Rahul Tewatia,out,22,15,15,2,1,146.66
"5th Match (N), Ahmedabad, March 24",Rashid Khan,not out,4,3,4,0,0,133.33
"5th Match (N), Ahmedabad, March 24",Ishan Kishan †,out,0,4,2,0,0,0.00
"5th Match (N), Ahmedabad, March 24",Rohit Sharma,out,43,29,57,7,1,148.27
"5th Match (N), Ahmedabad, March 24",Naman Dhir,out,20,10,13,3,1,200.00
"5th Match (N), Ahmedabad, March 24",Dewald Brevis,out,46,38,58,2,3,121.05
"5th Match (N), Ahmedabad, March 24",Tilak Varma,out,25,19,33,1,1,131.57
"5th Match (N), Ahmedabad, March 24",Tim David,out,11,10,12,1,0,110.00
"5th Match (N), Ahmedabad, March 24",Hardik Pandya (c),out,11,4,9,1,1,275.00
"5th Match (N), Ahmedabad, March 24",Gerald Coetzee,out,1,3,3,0,0,33.33
"5th Match (N), Ahmedabad, March 24",Shams Mulani,not out,1,1,6,0,0,100.00
"5th Match (N), Ahmedabad, March 24",Piyush Chawla,out,0,1,1,0,0,0.00
"5th Match (N), Ahmedabad, March 24",Jasprit Bumrah,not out,1,1,1,0,0,100.00
"6th Match (N), Bengaluru, March 25",Shikhar Dhawan (c),out,45,37,54,5,1,121.62
"6th Match (N), Bengaluru, March 25",Jonny Bairstow,out,8,6,11,2,0,133.33
"6th Match (N), Bengaluru, March 25",Prabhsimran Singh,out,25,17,26,2,2,147.05
"6th Match (N), Bengaluru, March 25",Liam Livingstone,out,17,13,13,1,1,130.76
"6th Match (N), Bengaluru, March 25",Sam Curran,out,23,17,27,3,0,135.29
"6th Match (N), Bengaluru, March 25",Jitesh Sharma †,out,27,20,32,1,2,135.00
"6th Match (N), Bengaluru, March 25",Shashank Singh,not out,21,8,14,1,2,262.50
"6th Match (N), Bengaluru, March 25",Harpreet Brar,not out,2,2,7,0,0,100.00
"6th Match (N), Bengaluru, March 25",Virat Kohli,out,77,49,76,11,2,157.14
"6th Match (N), Bengaluru, March 25",Faf du Plessis (c),out,3,7,13,0,0,42.85
"6th Match (N), Bengaluru, March 25",Cameron Green,out,3,5,9,0,0,60.00
"6th Match (N), Bengaluru, March 25",Rajat Patidar,out,18,18,23,1,1,100.00
"6th Match (N), Bengaluru, March 25",Glenn Maxwell,out,3,5,8,0,0,60.00
"6th Match (N), Bengaluru, March 25",Anuj Rawat †,out,11,14,20,1,0,78.57
"6th Match (N), Bengaluru, March 25",Dinesh Karthik,not out,28,10,22,3,2,280.00
"6th Match (N), Bengaluru, March 25",Mahipal Lomror,not out,17,8,18,2,1,212.50
"7th Match (N), Chennai, March 26",Ruturaj Gaikwad (c),out,46,36,62,5,1,127.77
"7th Match (N), Chennai, March 26",Rachin Ravindra,out,46,20,29,6,3,230.00
"7th Match (N), Chennai, March 26",Ajinkya Rahane,out,12,12,19,0,0,100.00
"7th Match (N), Chennai, March 26",Shivam Dube,out,51,23,44,2,5,221.73
"7th Match (N), Chennai, March 26",Daryl Mitchell,not out,24,20,41,2,0,120.00
"7th Match (N), Chennai, March 26",Sameer Rizvi,out,14,6,5,0,2,233.33
"7th Match (N), Chennai, March 26",Ravindra Jadeja,out,7,3,5,1,0,233.33
"7th Match (N), Chennai, March 26",Wriddhiman Saha †,out,21,17,28,4,0,123.52
"7th Match (N), Chennai, March 26",Shubman Gill (c),out,8,5,17,0,1,160.00
"7th Match (N), Chennai, March 26",Sai Sudharsan,out,37,31,61,3,0,119.35
"7th Match (N), Chennai, March 26",Vijay Shankar,out,12,12,13,0,1,100.00
"7th Match (N), Chennai, March 26",David Miller,out,21,16,22,3,0,131.25
"7th Match (N), Chennai, March 26",Azmatullah Omarzai,out,11,10,17,1,0,110.00
"7th Match (N), Chennai, March 26",Rahul Tewatia,out,6,11,20,1,0,54.54
"7th Match (N), Chennai, March 26",Rashid Khan,out,1,2,2,0,0,50.00
"7th Match (N), Chennai, March 26",Umesh Yadav,not out,10,11,17,0,1,90.90
"7th Match (N), Chennai, March 26",Spencer Johnson,not out,5,5,6,1,0,100.00
"8th Match (N), Hyderabad, March 27",Mayank Agarwal,out,11,13,19,1,0,84.61
"8th Match (N), Hyderabad, March 27",Travis Head,out,62,24,39,9,3,258.33
"8th Match (N), Hyderabad, March 27",Abhishek Sharma,out,63,23,36,3,7,273.91
"8th Match (N), Hyderabad, March 27",Aiden Markram,not out,42,28,59,2,1,150.00
"8th Match (N), Hyderabad, March 27",Heinrich Klaasen †,not out,80,34,43,4,7,235.29
"8th Match (N), Hyderabad, March 27",Rohit Sharma,out,26,12,20,1,3,216.66
"8th Match (N), Hyderabad, March 27",Ishan Kishan †,out,34,13,14,2,4,261.53
"8th Match (N), Hyderabad, March 27",Naman Dhir,out,30,14,35,2,2,214.28
"8th Match (N), Hyderabad, March 27",Tilak Varma,out,64,34,49,2,6,188.23
"8th Match (N), Hyderabad, March 27",Hardik Pandya (c),out,24,20,40,1,1,120.00
"8th Match (N), Hyderabad, March 27",Tim David,not out,42,22,29,2,3,190.90
"8th Match (N), Hyderabad, March 27",Romario Shepherd,not out,15,6,7,2,1,250.00
"9th Match (N), Jaipur, March 28",Yashasvi Jaiswal,out,5,7,11,1,0,71.42
"9th Match (N), Jaipur, March 28",Jos Buttler,out,11,16,43,0,0,68.75
"9th Match (N), Jaipur, March 28",Sanju Samson (c)†,out,15,14,19,3,0,107.14
"9th Match (N), Jaipur, March 28",Riyan Parag,not out,84,45,73,7,6,186.66
"9th Match (N), Jaipur, March 28",Ravichandran Ashwin,out,29,19,24,0,3,152.63
"9th Match (N), Jaipur, March 28",Dhruv Jurel,out,20,12,19,3,0,166.66
"9th Match (N), Jaipur, March 28",Shimron Hetmyer,not out,14,7,16,1,1,200.00
"9th Match (N), Jaipur, March 28",David Warner,out,49,34,55,5,3,144.11
"9th Match (N), Jaipur, March 28",Mitchell Marsh,out,23,12,17,5,0,191.66
"9th Match (N), Jaipur, March 28",Ricky Bhui,out,0,2,3,0,0,0.00
"9th Match (N), Jaipur, March 28",Rishabh Pant (c)†,out,28,26,42,2,1,107.69
"9th Match (N), Jaipur, March 28",Tristan Stubbs,not out,44,23,44,2,3,191.30
"9th Match (N), Jaipur, March 28",Abishek Porel,out,9,10,10,0,0,90.00
"9th Match (N), Jaipur, March 28",Axar Patel,not out,15,13,23,1,0,115.38
"10th Match (N), Bengaluru, March 29",Virat Kohli,not out,83,59,89,4,4,140.67
"10th Match (N), Bengaluru, March 29",Faf du Plessis (c),out,8,6,10,0,1,133.33
"10th Match (N), Bengaluru, March 29",Cameron Green,out,33,21,25,4,2,157.14
"10th Match (N), Bengaluru, March 29",Glenn Maxwell,out,28,19,21,3,1,147.36
"10th Match (N), Bengaluru, March 29",Rajat Patidar,out,3,4,10,0,0,75.00
"10th Match (N), Bengaluru, March 29",Anuj Rawat †,out,3,3,6,0,0,100.00
"10th Match (N), Bengaluru, March 29",Dinesh Karthik,out,20,8,13,0,3,250.00
"10th Match (N), Bengaluru, March 29",Phil Salt †,out,30,20,37,2,2,150.00
"10th Match (N), Bengaluru, March 29",Sunil Narine,out,47,22,29,2,5,213.63
"10th Match (N), Bengaluru, March 29",Venkatesh Iyer,out,50,30,43,3,4,166.66
"10th Match (N), Bengaluru, March 29",Shreyas Iyer (c),not out,39,24,43,2,2,162.50
"10th Match (N), Bengaluru, March 29",Rinku Singh,not out,5,5,7,0,0,100.00
"11th Match (N), Lucknow, March 30",Quinton de Kock †,out,54,38,63,5,2,142.10
"11th Match (N), Lucknow, March 30",KL Rahul,out,15,9,19,1,1,166.66
"11th Match (N), Lucknow, March 30",Devdutt Padikkal,out,9,6,7,2,0,150.00
"11th Match (N), Lucknow, March 30",Marcus Stoinis,out,19,12,14,0,2,158.33
"11th Match (N), Lucknow, March 30",Nicholas Pooran (c),out,42,21,30,3,3,200.00
"11th Match (N), Lucknow, March 30",Ayush Badoni,out,8,10,26,0,0,80.00
"11th Match (N), Lucknow, March 30",Krunal Pandya,not out,43,22,29,4,2,195.45
"11th Match (N), Lucknow, March 30",Ravi Bishnoi,out,0,1,1,0,0,0.00
"11th Match (N), Lucknow, March 30",Mohsin Khan,out,2,1,4,0,0,200.00
"11th Match (N), Lucknow, March 30",Naveen-ul-Haq,not out,0,0,2,0,0,-
"11th Match (N), Lucknow, March 30",Shikhar Dhawan (c),out,70,50,-,7,3,140.00
"11th Match (N), Lucknow, March 30",Jonny Bairstow,out,42,29,-,3,3,144.82
"11th Match (N), Lucknow, March 30",Prabhsimran Singh,out,19,7,-,1,2,271.42
"11th Match (N), Lucknow, March 30",Jitesh Sharma †,out,6,9,-,1,0,66.66
"11th Match (N), Lucknow, March 30",Liam Livingstone,not out,28,17,-,2,2,164.70
"11th Match (N), Lucknow, March 30",Sam Curran,out,0,1,-,0,0,0.00
"11th Match (N), Lucknow, March 30",Shashank Singh,not out,9,7,-,1,0,128.57
"12th Match (D/N), Ahmedabad, March 31",Travis Head,out,19,14,19,3,0,135.71
"12th Match (D/N), Ahmedabad, March 31",Mayank Agarwal,out,16,17,29,2,0,94.11
"12th Match (D/N), Ahmedabad, March 31",Abhishek Sharma,out,29,20,22,2,2,145.00
"12th Match (D/N), Ahmedabad, March 31",Aiden Markram,out,17,19,33,0,0,89.47
"12th Match (D/N), Ahmedabad, March 31",Heinrich Klaasen †,out,24,13,14,1,2,184.61
"12th Match (D/N), Ahmedabad, March 31",Shahbaz Ahmed,out,22,20,28,1,1,110.00
"12th Match (D/N), Ahmedabad, March 31",Abdul Samad,out,29,14,28,3,1,207.14
"12th Match (D/N), Ahmedabad, March 31",Washington Sundar,out,0,1,1,0,0,0.00
"12th Match (D/N), Ahmedabad, March 31",Pat Cummins (c),not out,2,2,3,0,0,100.00
"12th Match (D/N), Ahmedabad, March 31",Wriddhiman Saha †,out,25,13,18,1,2,192.30
"12th Match (D/N), Ahmedabad, March 31",Shubman Gill (c),out,36,28,39,2,1,128.57
"12th Match (D/N), Ahmedabad, March 31",Sai Sudharsan,out,45,36,49,4,1,125.00
"12th Match (D/N), Ahmedabad, March 31",David Miller,not out,44,27,45,4,2,162.96
"12th Match (D/N), Ahmedabad, March 31",Vijay Shankar,not out,14,11,14,2,0,127.27
"13th Match (N), Visakhapatnam, March 31",Prithvi Shaw,out,43,27,53,4,2,159.25
"13th Match (N), Visakhapatnam, March 31",David Warner,out,52,35,47,5,3,148.57
"13th Match (N), Visakhapatnam, March 31",Rishabh Pant (c)†,out,51,32,44,4,3,159.37
"13th Match (N), Visakhapatnam, March 31",Mitchell Marsh,out,18,12,17,2,1,150.00
"13th Match (N), Visakhapatnam, March 31",Tristan Stubbs,out,0,2,1,0,0,0.00
"13th Match (N), Visakhapatnam, March 31",Axar Patel,not out,7,8,27,0,0,87.50
"13th Match (N), Visakhapatnam, March 31",Abishek Porel,not out,9,6,7,1,0,150.00
"13th Match (N), Visakhapatnam, March 31",Ruturaj Gaikwad (c),out,1,2,5,0,0,50.00
"13th Match (N), Visakhapatnam, March 31",Rachin Ravindra,out,2,12,15,0,0,16.66
"13th Match (N), Visakhapatnam, March 31",Ajinkya Rahane,out,45,30,64,5,2,150.00
"13th Match (N), Visakhapatnam, March 31",Daryl Mitchell,out,34,26,36,1,2,130.76
"13th Match (N), Visakhapatnam, March 31",Shivam Dube,out,18,17,34,1,0,105.88
"13th Match (N), Visakhapatnam, March 31",Sameer Rizvi,out,0,1,1,0,0,0.00
"13th Match (N), Visakhapatnam, March 31",Ravindra Jadeja,not out,21,17,37,2,0,123.52
"13th Match (N), Visakhapatnam, March 31",MS Dhoni †,not out,37,16,22,4,3,231.25
"14th Match (N), Wankhede, April 01",Ishan Kishan †,out,16,14,22,2,1,114.28
"14th Match (N), Wankhede, April 01",Rohit Sharma,out,0,1,4,0,0,0.00
"14th Match (N), Wankhede, April 01",Naman Dhir,out,0,1,2,0,0,0.00
"14th Match (N), Wankhede, April 01",Dewald Brevis,out,0,1,8,0,0,0.00
"14th Match (N), Wankhede, April 01",Tilak Varma,out,32,29,55,0,2,110.34
"14th Match (N), Wankhede, April 01",Hardik Pandya (c),out,34,21,27,6,0,161.90
"14th Match (N), Wankhede, April 01",Piyush Chawla,out,3,6,9,0,0,50.00
"14th Match (N), Wankhede, April 01",Tim David,out,17,24,35,1,0,70.83
"14th Match (N), Wankhede, April 01",Gerald Coetzee,out,4,9,14,0,0,44.44
"14th Match (N), Wankhede, April 01",Jasprit Bumrah,not out,8,9,17,1,0,88.88
"14th Match (N), Wankhede, April 01",Akash Madhwal,not out,4,5,6,0,0,80.00
"14th Match (N), Wankhede, April 01",Yashasvi Jaiswal,out,10,6,4,2,0,166.66
"14th Match (N), Wankhede, April 01",Jos Buttler,out,13,16,37,2,0,81.25
"14th Match (N), Wankhede, April 01",Sanju Samson (c)†,out,12,10,19,3,0,120.00
"14th Match (N), Wankhede, April 01",Riyan Parag,not out,54,39,54,5,3,138.46
"14th Match (N), Wankhede, April 01",Ravichandran Ashwin,out,16,16,26,1,0,100.00
"14th Match (N), Wankhede, April 01",Shubham Dubey,not out,8,6,15,1,0,133.33
"15th Match (N), Bengaluru, April 02",Quinton de Kock,out,81,56,76,8,5,144.64
"15th Match (N), Bengaluru, April 02",KL Rahul (c)†,out,20,14,26,0,2,142.85
"15th Match (N), Bengaluru, April 02",Devdutt Padikkal,out,6,11,14,0,0,54.54
"15th Match (N), Bengaluru, April 02",Marcus Stoinis,out,24,15,20,1,2,160.00
"15th Match (N), Bengaluru, April 02",Nicholas Pooran,not out,40,21,31,1,5,190.47
"15th Match (N), Bengaluru, April 02",Ayush Badoni,out,0,3,5,0,0,0.00
"15th Match (N), Bengaluru, April 02",Krunal Pandya,not out,0,0,8,0,0,-
"15th Match (N), Bengaluru, April 02",Virat Kohli,out,22,16,16,2,1,137.50
"15th Match (N), Bengaluru, April 02",Faf du Plessis (c),out,19,13,20,3,0,146.15
"15th Match (N), Bengaluru, April 02",Rajat Patidar,out,29,21,50,2,2,138.09
"15th Match (N), Bengaluru, April 02",Glenn Maxwell,out,0,2,2,0,0,0.00
"15th Match (N), Bengaluru, April 02",Cameron Green,out,9,9,7,1,0,100.00
"15th Match (N), Bengaluru, April 02",Anuj Rawat †,out,11,21,29,0,0,52.38
"15th Match (N), Bengaluru, April 02",Mahipal Lomror,out,33,13,29,3,3,253.84
"15th Match (N), Bengaluru, April 02",Dinesh Karthik,out,4,8,13,0,0,50.00
"15th Match (N), Bengaluru, April 02",Mayank Dagar,out,0,1,2,0,0,0.00
"15th Match (N), Bengaluru, April 02",Reece Topley,not out,3,6,12,0,0,50.00
"15th Match (N), Bengaluru, April 02",Mohammed Siraj,out,12,8,8,0,2,150.00
"16th Match (N), Visakhapatnam, April 03",Phil Salt †,out,18,12,24,4,0,150.00
"16th Match (N), Visakhapatnam, April 03",Sunil Narine,out,85,39,62,7,7,217.94
"16th Match (N), Visakhapatnam, April 03",Angkrish Raghuvanshi,out,54,27,43,5,3,200.00
"16th Match (N), Visakhapatnam, April 03",Andre Russell,out,41,19,43,4,3,215.78
"16th Match (N), Visakhapatnam, April 03",Shreyas Iyer (c),out,18,11,23,0,2,163.63
"16th Match (N), Visakhapatnam, April 03",Rinku Singh,out,26,8,12,1,3,325.00
"16th Match (N), Visakhapatnam, April 03",Venkatesh Iyer,not out,5,2,7,1,0,250.00
"16th Match (N), Visakhapatnam, April 03",Ramandeep Singh,out,2,2,2,0,0,100.00
"16th Match (N), Visakhapatnam, April 03",Mitchell Starc,not out,1,1,3,0,0,100.00
"16th Match (N), Visakhapatnam, April 03",David Warner,out,18,13,27,2,1,138.46
"16th Match (N), Visakhapatnam, April 03",Prithvi Shaw,out,10,7,12,2,0,142.85
"16th Match (N), Visakhapatnam, April 03",Mitchell Marsh,out,0,2,4,0,0,0.00
"16th Match (N), Visakhapatnam, April 03",Abishek Porel,out,0,5,5,0,0,0.00
"16th Match (N), Visakhapatnam, April 03",Rishabh Pant (c)†,out,55,25,39,4,5,220.00
"16th Match (N), Visakhapatnam, April 03",Tristan Stubbs,out,54,32,49,4,4,168.75
"16th Match (N), Visakhapatnam, April 03",Axar Patel,out,0,1,1,0,0,0.00
"16th Match (N), Visakhapatnam, April 03",Sumit Kumar,out,7,6,12,0,1,116.66
"16th Match (N), Visakhapatnam, April 03",Rasikh Salam,out,1,5,5,0,0,20.00
"16th Match (N), Visakhapatnam, April 03",Anrich Nortje,out,4,6,9,0,0,66.66
"16th Match (N), Visakhapatnam, April 03",Ishant Sharma,not out,1,3,5,0,0,33.33
"17th Match (N), Ahmedabad, April 04",Wriddhiman Saha †,out,11,13,14,2,0,84.61
"17th Match (N), Ahmedabad, April 04",Shubman Gill (c),not out,89,48,96,6,4,185.41
"17th Match (N), Ahmedabad, April 04",Kane Williamson,out,26,22,23,4,0,118.18
"17th Match (N), Ahmedabad, April 04",Sai Sudharsan,out,33,19,21,6,0,173.68
"17th Match (N), Ahmedabad, April 04",Vijay Shankar,out,8,10,17,0,0,80.00
"17th Match (N), Ahmedabad, April 04",Rahul Tewatia,not out,23,8,16,3,1,287.50
"17th Match (N), Ahmedabad, April 04",Shikhar Dhawan (c),out,1,2,6,0,0,50.00
"17th Match (N), Ahmedabad, April 04",Jonny Bairstow,out,22,13,25,4,0,169.23
"17th Match (N), Ahmedabad, April 04",Prabhsimran Singh,out,35,24,27,5,1,145.83
"17th Match (N), Ahmedabad, April 04",Sam Curran,out,5,8,14,0,0,62.50
"17th Match (N), Ahmedabad, April 04",Sikandar Raza,out,15,16,23,0,0,93.75
"17th Match (N), Ahmedabad, April 04",Shashank Singh,not out,61,29,58,6,4,210.34
"17th Match (N), Ahmedabad, April 04",Jitesh Sharma †,out,16,8,13,0,2,200.00
"17th Match (N), Ahmedabad, April 04",Ashutosh Sharma,out,31,17,19,3,1,182.35
"17th Match (N), Ahmedabad, April 04",Harpreet Brar,not out,1,2,7,0,0,50.00
"18th Match (N), Hyderabad, April 05",Rachin Ravindra,out,12,9,14,2,0,133.33
"18th Match (N), Hyderabad, April 05",Ruturaj Gaikwad (c),out,26,21,32,3,1,123.80
"18th Match (N), Hyderabad, April 05",Ajinkya Rahane,out,35,30,54,2,1,116.66
"18th Match (N), Hyderabad, April 05",Shivam Dube,out,45,24,29,2,4,187.50
"18th Match (N), Hyderabad, April 05",Ravindra Jadeja,not out,31,23,30,4,0,134.78
"18th Match (N), Hyderabad, April 05",Daryl Mitchell,out,13,11,21,1,0,118.18
"18th Match (N), Hyderabad, April 05",MS Dhoni †,not out,1,2,2,0,0,50.00
"18th Match (N), Hyderabad, April 05",Travis Head,out,31,24,41,3,1,129.16
"18th Match (N), Hyderabad, April 05",Abhishek Sharma,out,37,12,15,3,4,308.33
"18th Match (N), Hyderabad, April 05",Aiden Markram,out,50,36,43,4,1,138.88
"18th Match (N), Hyderabad, April 05",Shahbaz Ahmed,out,18,19,26,0,1,94.73
"18th Match (N), Hyderabad, April 05",Heinrich Klaasen †,not out,10,11,19,1,0,90.90
"18th Match (N), Hyderabad, April 05",Nitish Kumar Reddy,not out,14,8,10,1,1,175.00
"19th Match (N), Jaipur, April 06",Virat Kohli,not out,113,72,94,12,4,156.94
"19th Match (N), Jaipur, April 06",Faf du Plessis (c),out,44,33,58,2,2,133.33
"19th Match (N), Jaipur, April 06",Glenn Maxwell,out,1,3,4,0,0,33.33
"19th Match (N), Jaipur, April 06",Saurav Chauhan,out,9,6,13,0,1,150.00
"19th Match (N), Jaipur, April 06",Cameron Green,not out,5,6,14,0,0,83.33
"19th Match (N), Jaipur, April 06",Yashasvi Jaiswal,out,0,2,1,0,0,0.00
"19th Match (N), Jaipur, April 06",Jos Buttler,not out,100,58,95,9,4,172.41
"19th Match (N), Jaipur, April 06",Sanju Samson (c)†,out,69,42,66,8,2,164.28
"19th Match (N), Jaipur, April 06",Riyan Parag,out,4,4,4,1,0,100.00
"19th Match (N), Jaipur, April 06",Dhruv Jurel,out,2,3,5,0,0,66.66
"19th Match (N), Jaipur, April 06",Shimron Hetmyer,not out,11,6,14,2,0,183.33
"20th Match (D/N), Wankhede, April 07",Rohit Sharma,out,49,27,30,6,3,181.48
"20th Match (D/N), Wankhede, April 07",Ishan Kishan †,out,42,23,45,4,2,182.60
"20th Match (D/N), Wankhede, April 07",Suryakumar Yadav,out,0,2,2,0,0,0.00
"20th Match (D/N), Wankhede, April 07",Hardik Pandya (c),out,39,33,51,3,1,118.18
"20th Match (D/N), Wankhede, April 07",Tilak Varma,out,6,5,9,1,0,120.00
"20th Match (D/N), Wankhede, April 07",Tim David,not out,45,21,42,2,4,214.28
"20th Match (D/N), Wankhede, April 07",Romario Shepherd,not out,39,10,13,3,4,390.00
"20th Match (D/N), Wankhede, April 07",Prithvi Shaw,out,66,40,53,8,3,165.00
"20th Match (D/N), Wankhede, April 07",David Warner,out,10,8,15,1,1,125.00
"20th Match (D/N), Wankhede, April 07",Abishek Porel,out,41,31,50,5,0,132.25
"20th Match (D/N), Wankhede, April 07",Tristan Stubbs,not out,71,25,42,3,7,284.00
"20th Match (D/N), Wankhede, April 07",Rishabh Pant (c)†,out,1,3,6,0,0,33.33
"20th Match (D/N), Wankhede, April 07",Axar Patel,out,8,7,14,1,0,114.28
"20th Match (D/N), Wankhede, April 07",Lalit Yadav,out,3,4,4,0,0,75.00
